title,url,createdAt,mergedAt,repository,repository_owner,stars
Update script_ops.py,https://github.com/tensorflow/tensorflow/pull/56461,2022-06-14T21:16:29Z,2022-08-08T15:17:34Z,tensorflow/tensorflow,tensorflow,174264
Add question and fix typo,https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes/pull/3547,2022-04-19T23:46:00Z,2022-04-20T07:50:05Z,Ebazhanov/linkedin-skill-assessments-quizzes,Ebazhanov,24480
Update README.md,https://github.com/open-mmlab/mmdetection/pull/7498,2022-03-22T13:15:39Z,2022-03-23T00:53:52Z,open-mmlab/mmdetection,open-mmlab,24092
Suggest scikit-learn instead of sklearn,https://github.com/huggingface/datasets/pull/5551,2023-02-20T16:16:57Z,2023-02-21T13:21:07Z,huggingface/datasets,huggingface,16112
Add project links to the pypi page,https://github.com/Kaggle/kaggle-api/pull/461,2023-03-01T17:06:29Z,2023-03-01T17:16:23Z,Kaggle/kaggle-api,Kaggle,5299
Update index.md,https://github.com/github/explore/pull/3109,2022-06-14T17:50:10Z,2022-06-16T14:37:45Z,github/explore,github,3792
fix typo,https://github.com/rochacbruno/python-project-template/pull/23,2022-07-14T12:34:08Z,2022-08-19T15:06:26Z,rochacbruno/python-project-template,rochacbruno,734
Update game.py,https://github.com/glmcdona/LuxPythonEnvGym/pull/96,2021-10-06T06:28:36Z,2021-10-06T18:44:00Z,glmcdona/LuxPythonEnvGym,glmcdona,73
"Link app functions directly, without using eval",https://github.com/giswqs/streamlit-template/pull/2,2022-03-30T19:04:00Z,2022-03-30T19:46:57Z,giswqs/streamlit-template,giswqs,54
"Link app functions directly, without using eval",https://github.com/giswqs/geospatial-apps/pull/2,2022-03-30T18:58:07Z,2022-03-30T19:14:12Z,giswqs/geospatial-apps,giswqs,15
deleted unused files,https://github.com/bdrtr/prediction-Game/pull/1,2022-05-02T15:13:44Z,2022-05-02T15:14:54Z,bdrtr/prediction-Game,bdrtr,1
add workflow,https://github.com/bdrtr/prediction-Game/pull/2,2022-05-02T15:27:22Z,2022-05-02T15:28:52Z,bdrtr/prediction-Game,bdrtr,1
Update README.md,https://github.com/itszehrakaya/datathon23/pull/1,2023-05-07T20:58:18Z,2023-05-07T20:59:03Z,itszehrakaya/datathon23,itszehrakaya,1
